epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1822.08,2.31961,3.45658,2.04375,0.78479,0.23736,0.46968,0.25747,1.60546,3.07464,1.56983,0.000251207,0.000251207,0.000251207
2,2746.49,1.1297,1.31069,1.26363,0.92753,0.83582,0.9433,0.69402,1.06638,1.55033,1.1403,0.000457294,0.000457294,0.000457294
3,3375.77,0.79623,0.83923,1.06476,0.98472,0.8998,0.98747,0.79857,0.78911,1.05436,1.02121,0.000612626,0.000612626,0.000612626
4,3737.49,0.66954,0.72191,0.99218,0.97169,0.92217,0.99497,0.83936,0.6574,0.78078,0.96293,0.000540607,0.000540607,0.000540607
5,4016.54,0.56026,0.62731,0.93854,0.99521,0.99889,0.99499,0.9192,0.45029,0.58108,0.88818,0.000464476,0.000464476,0.000464476
6,4184.83,0.46636,0.56541,0.91257,0.99343,0.96273,0.99462,0.90239,0.49367,0.61104,0.8852,0.000388345,0.000388345,0.000388345
7,4708.94,0.43662,0.53069,0.89373,0.99576,0.96331,0.995,0.9095,0.43659,0.55563,0.86085,0.000312214,0.000312214,0.000312214
8,5007.3,0.38998,0.49505,0.88429,0.99527,0.96331,0.995,0.93766,0.37918,0.53026,0.85037,0.000236083,0.000236083,0.000236083
9,5323.53,0.35712,0.4746,0.87564,0.99555,0.96333,0.995,0.9529,0.33739,0.49013,0.83935,0.000159952,0.000159952,0.000159952
10,5678.96,0.32842,0.45324,0.86574,0.99545,0.96459,0.995,0.94461,0.34515,0.48499,0.83871,8.3821e-05,8.3821e-05,8.3821e-05
