epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.007,2.37582,3.66652,2.02039,0.93858,0.14862,0.39511,0.23103,1.549,3.20174,1.42851,0.000251207,0.000251207,0.000251207
2,323.544,1.29746,1.6943,1.33792,0.91101,0.55513,0.86271,0.58741,1.21605,2.06675,1.27366,0.000407047,0.000407047,0.000407047
3,499.276,0.95105,0.99262,1.14057,0.95026,0.88551,0.98999,0.72073,1.01768,1.30448,1.11437,0.000461379,0.000461379,0.000461379
4,677.564,0.78338,0.80281,1.0446,0.99799,0.99655,0.99487,0.86618,0.58459,0.686,0.95799,0.000312214,0.000312214,0.000312214
5,847.33,0.67819,0.72737,0.99844,0.99776,0.99749,0.99499,0.89431,0.48864,0.58805,0.93303,0.000159952,0.000159952,0.000159952
